# "Photon energy, eV","n","k"
0.6400835696081555,0.92,13.78
0.7700881207024827,0.56,11.21
0.8900515967918141,0.43,9.519
1.0196068045485174,0.35,8.145
1.1395605462601075,0.27,7.15
1.2600019048079238,0.22,6.35
1.3899572582186066,0.17,5.663
1.5099767072597698,0.16,5.083
1.6400024792738057,0.14,4.542
1.7598891047991443,0.13,4.103
1.8799725160439684,0.14,3.697
2.0101197703161433,0.21,3.272
2.1299465286565833,0.29,2.863
2.2600107078581795,0.43,2.455
2.38019173417354,0.62,2.081
2.5001852678584333,1.04,1.833
2.63012701385447,1.31,1.849
2.749704755668656,1.38,1.914
2.880004353846683,1.45,1.948
2.9998593620396736,1.46,1.958
3.1198839313814726,1.47,1.952
3.249913169937083,1.46,1.933
3.370051302883928,1.48,1.895
3.5004005486476486,1.5,1.866
3.6199762754189693,1.48,1.871
3.7400961518280456,1.48,1.883
3.8696687713202156,1.54,1.898
3.990479157808166,1.53,1.893
4.120444913030898,1.53,1.889
4.240225288409703,1.49,1.878
4.35950026136075,1.47,1.869
4.490553691890609,1.43,1.847
4.610791648683516,1.38,1.803
4.739456706158246,1.35,1.749
4.860219029129742,1.33,1.688
4.979284635867458,1.33,1.631
5.110642515791414,1.32,1.577
5.229193902703488,1.32,1.536
5.3603193875097155,1.3,1.497
5.481175394920411,1.31,1.46
5.600008465812995,1.3,1.427
5.729398679902944,1.3,1.387
5.851070666970255,1.3,1.35
5.9809062919970915,1.3,1.304
6.098582756178048,1.33,1.277
6.220982811495219,1.33,1.251
6.348396693963119,1.34,1.226
6.470990993376812,1.32,1.203
6.598413381218718,1.28,1.188
