#### pusle duration [s]    chi3_imag [m^2/V^2]   
1.0125241847722314e-13, 4.152127065083354e-20
4.91917068449176e-13, 1.863794821838925e-19
6.003138709881397e-13, 5.587116514204793e-19
1.6248407815797197e-12, 1.0793514831294174e-18
2.0841017531283036e-12, 1.031431682475905e-18
2.4808162306509794e-12, 1.6463670354370346e-18
3.1426592724119056e-12, 3.3197178124764605e-18
3.981071705534986e-12, 3.1721327325839797e-18
4.738879609717671e-12, 4.009462854264709e-18
5.783119442521033e-12, 4.510245128370062e-18
