# pusle duration [s]    chi3_real [m^2/V^2]             
1.012679354777188e-13, 7.708921147503775e-19
5.016610660568681e-13, 3.440828143280672e-18
5.98436099826111e-13, 9.9398697774423e-18
1.5989333808583866e-12, 1.9420903080426158e-17
2.083250285752397e-12, 1.943186273050742e-17
2.485128426980571e-12, 2.936177142656983e-17
3.1573011331794367e-12, 5.841325327460709e-17
3.9610581448328946e-12, 5.619062159242699e-17
4.725182693586881e-12, 6.976599772801948e-17
5.780559878669432e-12, 7.699710726043974e-17
